ID,DAGM no.,Collection accession number,Text(s),Ascribed period,First published in,,,,,,,
38,38,Pap. Oxy. 2436,,Second century CE,"Turner, E. G., Winnington-Ingram, R. P., ' Monody with Musical Notation', POxy 25, 1959, No. 2436, 113-22.",,,,,,,
39,39,Pap. Oslo 1413 a lines 1-15; b-f,,First-second century CE,"Eitrem, S., Amundsen, L., Winnington-Ingram, R. P., 'Fragments of Unkown Greek Tragic Texts with Musical Notation', SO 31, 1955, 1-87 (pp. 1-29: The Text, by S. E. and L. A., pp. 29-97: The Music, by R. P. W.-I.).",,,,,,,
40,40,"Pap. Oslo 1413 a lines 15-19, g-m",,First-second century CE,"Eitrem, S., Amundsen, L., Winnington-Ingram, R. P., 'Fragments of Unkown Greek Tragic Texts with Musical Notation', SO 31, 1955, 1-87 (pp. 1-29: The Text, by S. E. and L. A., pp. 29-97: The Music, by R. P. W.-I.).",,,,,,,
41,41,Pap. Yale CtYBR inv. 4510,,Early second century CE,"Johnson, W. A., 'Musical evenings in the Early Empire: New evidence from a Greek Papyrus with Musical Notation', JHS 120, 2000, 57-85.",,,,,,,
42,42,Pap. Michigan 2958 lines 1-18,,Second century CE,"Pearl, O. M., Winnington-Ingram, R. P. 'A Michigan Papyrus with Musical Notation', JEA 51, 1965, 179-95.",,,,,,,
43,43,Pap. Michigane 2958 lines 19-26,,Second century CE,"Pearl, O. M., Winnington-Ingram, R. P. 'A Michigan Papyrus with Musical Notation', JEA 51, 1965, 179-95.",,,,,,,
44,44,Pap. Oxy. 3704,,Second century CE,"Haslam, M. W., 'Text with Musical Notation', POxy, 53, 1986, 41-7, Pl. IV, VI.",,,,,,,
45,45,Pap. Oxy. 4461,,Second century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.83-5)",,,,,,,
46,46,Pap. Oxy. 4462,,Second century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.86-9)",,,,,,,
47,47,Pap. Oxy. 4463,,Second-third century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.89-93)",,,,,,,
48,48,Pap. Oxy. 4464,,Second-third century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.93-5)",,,,,,,
49,49,Pap. Oxy. 4465,,Second-third century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.95-7)",,,,,,,
50,50,Pap. Berlin 6870+14097 (1-12),,Second-third century CE,"Schubart, W. 'Ein griechischer Papyrus mit Noten', SPAW 36, 1918, 763-8.",,,,,,,
51,51,Pap. Berlin 6870 (13-15),,Second-third century CE,"Schubart, W. 'Ein griechischer Papyrus mit Noten', SPAW 36, 1918, 763-8.",,,,,,,
51,51,Pap. Berlin 6870 (20-2),,Second-third century CE,"Schubart, W. 'Ein griechischer Papyrus mit Noten', SPAW 36, 1918, 763-8.",,,,,,,
53,53,Pap. Oxy. 3161 recto,,Third century CE,"Haslam, M. W., 'Texts with Musical Notation', POxy 44, 1976, 58-67, Pl. VI-VII.",,,,,,,
54,54,Pap. Oxy. 3161 verso,,Third century CE,"Haslam, M. W., 'Texts with Musical Notation', POxy 44, 1976, 58-67, Pl. VI-VII.",,,,,,,
55,55,Pap. Oxy. 3162,,Third century CE,"Haslam, M. W., 'Texts with Musical Notation', POxy 44, 1976, 67-72, Pl. VI.",,,,,,,
56,56,Pap. Oxy. 3705,"Menander, Perikeiromene, 796",Third century CE,"Haslam, M. W., 'Texts with Musical Notation', POxy 53, 1986, 47 f., Pl. II.",,,,,,,
57,57,Pap. Oxy. 4466,,Third century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.98 f.)",,,,,,,
58,58,Pap. Oxy. 4467,,Third century CE,"West, M. L., 'Texts with Musical Notation', POxy 55, 1998, nos. 4461-67, pp.81-102. (p.99-102 f.)",,,,,,,
59,59,Pap. Oxy. 1786,,Third-fourth century CE ,"Hunt, A. S., Jones, H. S., 'Christian Hymn with Musical Notation', POxy 15, 1922, 21-5.",,,,,,,
60,60,Pap. Ms. Schøyen 2260,,Third-fourth century CE ,"Pöhlmann, E. West, M. L. Documents of Ancient Greek Music, 2001, p.195.",,,,,,,
61,61,Pap. Mich. Inv. 1250,,First to third century CE,"Johnson, W. A. 'New Instrumental Music from Graeco-Roman Egypt (P. Mich. inv. 1205),' Bulletin of the American Society of Papyrologists 37 (2000) pages 1ff.",,,,,,,
62,n.a,Louvre Pap. E 10534,Carcinus the Younger,Second century CE,"Bélis, A. (2004). Un papyrus musical inédit au Louvre. Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres, 148(3), 1305-1329.",,,,,,,
63,n.a,P.Oxy. 4710,,Ptolemaic,"Yuan, J. (2005). Fragment with Musical Notation (P.Oxy. 4710). Oxyrhynchus Papyri 69, 45-46.",,,,,,,
64,n.a,P.Vat.Gr. 7 ,,Ptolemaic,"Martinell, M. C., & Pintaudi, R. (2009). P.Vat.Gr. 7: un nuovo papiro musicale di età tolemaica. In: Martinelli, M. C., Pelosi, F. & Pernigotti, C. (eds.), La musica dimenticata, Aspetti dell’esperienza musicale greca in età ellenistica, Edizioni della Normale, 287-292.",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
